Type,Node,Serial Number,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Serial Number,Peer Interface,Peer IP Address
l3leaf,eos1,,Ethernet1,10.1.2.1/24,p,eos2,,Ethernet5,10.1.2.2/24
l3leaf,eos1,,Ethernet4,10.101.0.19/31,spine,eos6,,Ethernet4,10.101.0.18/31
l3leaf,eos1,,Ethernet5,10.1.5.1/24,rr,eos5,,Ethernet4,10.1.5.5/24
p,eos2,,Ethernet2,10.2.4.2/24,l3leaf,eos4,,Ethernet4,10.2.4.4/24
p,eos2,,Ethernet3,10.2.5.2/24,rr,eos5,,Ethernet3,10.2.5.5/24
spine,eos3,,Ethernet2,10.102.0.30/31,l3leaf,eos7,,Ethernet1,10.102.0.31/31
spine,eos3,,Ethernet5,10.102.0.24/31,l3leaf,eos4,,Ethernet5,10.102.0.25/31
l3leaf,eos4,,Ethernet3,10.4.5.4/24,rr,eos5,,Ethernet1,10.4.5.5/24
spine,eos6,,Ethernet2,10.101.0.32/31,l3leaf,eos8,,Ethernet3,10.101.0.33/31
